name,url,price,parcels,store_name
Smartwatch Fossil Q Híbrido Crewmaster Masculino - FTW1126/1KI,http://www.fossil.com.br/2011039_ftw1126-1ki-pulso-aco-pulseira-aco-qz-fossil/p,1500,1,Fossil
Smartwatch Fossil Q Híbrido Gazer Feminino - FTW1106/1JI,http://www.fossil.com.br/2011038_ftw1106-1ji-pulso-rose-pulseira-rose-qz-fossil/p,1500,1,Fossil
Smartwatch Fossil Q Feminino Rosé Gold - FTW2102/0DI,http://www.fossil.com.br/2010626_ftw2102-0di-pulso-rose-pulseira-couro-qz-mkors/p,2200,1,Fossil
Smartwatch Fossil Q Feminino Rosé Gold - FTW2112/1JI,http://www.fossil.com.br/2010624_ftw2112-1ji-pulso-rose-pulseira-rose-dig-mkors/p,2350,1,Fossil
Relógio Fossil Feminino Jacqueline - ES4100/4NN,http://www.fossil.com.br/2010422_es4100-4nn-pulso-vinho-pulseira-vinho-qz-fossil/p,1149,1,Fossil
Relógio Fossil Masculino The Commuter 3H Date  - FS5275/0KN,http://www.fossil.com.br/2010421_fs5275-0kn-pulso-aco-pulseira-couro-qz-fossil/p,669.9,1,Fossil
Bolsa Fossil Feminina Piper Corações - ZB7176745/1,http://www.fossil.com.br/2009957_zb7176745-1-bolsa-de-plastico-tamanho-pequena--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,609.9,1,Fossil
Bolsa Fossil Feminina Kendall Marrom e Cinza - ZB7156994/1,http://www.fossil.com.br/2009954_zb7156994-1-bolsa-de-tecido-tamanho-medio-feminina-c--ziper--marca-fossil/p,919.9,1,Fossil
Bolsa Fossil Feminina Emma Lilás - ZB7131727/1,http://www.fossil.com.br/2009951_zb7131727-1-bolsa-de-plastico-tamanho-pequena--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,499.9,1,Fossil
Bolsa Fossil Feminina Emma Cinza - ZB7124020/1,http://www.fossil.com.br/2009950_zb7124020-1-bolsa-de-couro-tamanho-pequena--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,759.9,1,Fossil
Bolsa Fossil Feminina Keely Preta - ZB6934005/1,http://www.fossil.com.br/2009948_zb6934005-1-bolsa-de-couro-tamanho-medio--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,1172.9,1,Fossil
Bolsa Fossil Feminina Emma Vinho - ZB6844609/1,http://www.fossil.com.br/2009946_zb6844609-1-bolsa-de-couro-tamanho-medio--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,1020.9,1,Fossil
Bolsa Fossil Feminina Emma Caramelo - ZB6844231/1,http://www.fossil.com.br/2009945_zb6844231-1-bolsa-de-couro-tamanho-medio--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,1020.9,1,Fossil
Bolsa Fossil Feminina Emma Azul - ZB6842433/1,http://www.fossil.com.br/2009944_zb6842433-1-bolsa-de-couro-tamanho-pequena--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,719.9,1,Fossil
Bolsa Fossil Feminina Emma Caramelo - ZB6842231/1,http://www.fossil.com.br/2009943_zb6842231-1-bolsa-de-couro-tamanho-pequena--tipo-tiracolo--feminina-c--ziper--marca-fossil/p,719.9,1,Fossil
Porta-passaporte Fossil Feminino  Corações - SL7436745/1,http://www.fossil.com.br/2009937_sl7436745-1-carteira-de-plastico-porta-documentos--marca-fossil/p,289.9,1,Fossil
Porta-passaporte Fossil Feminino  Rosa - SL7434281/1,http://www.fossil.com.br/2009936_sl7434281-1-carteira-de-plastico-porta-documentos--marca-fossil/p,299.9,1,Fossil
Porta-passaporte Fossil Feminino  Preto - SL7431001/1,http://www.fossil.com.br/2009935_sl7431001-1-carteira-de-couro-porta-documentos--marca-fossil/p,289.9,1,Fossil
Carteira Fossil Feminina Pouch Rosa - SL7404791/1,http://www.fossil.com.br/2009934_sl7404791-1-carteira-de-plastico-porta-documentos--marca-fossil/p,239.9,1,Fossil
Carteira Fossil Feminina Pouch Rosa Olhinhos - SL7295609/1,http://www.fossil.com.br/2009932_sl7295609-1-carteira-de-couro-porta-documentos--marca-fossil/p,399.9,1,Fossil
Carteira Fossil Feminina Emma Azul - SL7201475/1,http://www.fossil.com.br/2009931_sl7201475-1-carteira-de-plastico-porta-documentos--marca-fossil/p,399.9,1,Fossil
Carteira Fossil Feminina Emma Azul - SL7155433/1,http://www.fossil.com.br/2009929_sl7155433-1-carteira-de-couro-porta-documentos--marca-fossil/p,439.9,1,Fossil
Carteira Fossil Feminina Emma Caramelo - SL7155231/1,http://www.fossil.com.br/2009928_sl7155231-1-carteira-de-couro-porta-documentos--marca-fossil/p,439.9,1,Fossil
Carteira Fossil Feminina Emma Marrom - SL7154200/1,http://www.fossil.com.br/2009927_sl7154200-1-carteira-de-couro-porta-documentos--marca-fossil/p,329.9,1,Fossil
Carteira Fossil Feminina Emma Cinza - SL7154020/1,http://www.fossil.com.br/2009926_sl7154020-1-carteira-de-couro-porta-documentos--marca-fossil/p,329.9,1,Fossil
Carteira Fossil Feminina Emma Caramelo - SL7153231/1,http://www.fossil.com.br/2009925_sl7153231-1-carteira-de-couro-porta-documentos--marca-fossil/p,439.9,1,Fossil
Carteira Fossil Feminina Emma Marrom - SL7153200/1,http://www.fossil.com.br/2009924_sl7153200-1-carteira-de-couro-porta-documentos--marca-fossil/p,439.9,1,Fossil
Carteira Fossil Feminina Emma Preta - SL7153001/1,http://www.fossil.com.br/2009923_sl7153001-1-carteira-de-couro-porta-documentos--marca-fossil/p,439.9,1,Fossil
Carteira Fossil Feminina Ellis Azul - SL7104484/1,http://www.fossil.com.br/2009922_sl7104484-1-carteira-de-couro-porta-documentos--marca-fossil/p,399.9,1,Fossil
